reservoir,storage,capacity,date,state
"Red Fleet",25896,26000,06/2001,UT
"Red Fleet",25875,26000,06/2001,UT
"Red Fleet",25859,26000,06/2001,UT
"Red Fleet",25849,26000,06/2001,UT
"Red Fleet",25844,26000,06/2001,UT
"Red Fleet",25839,26000,06/2001,UT
"Red Fleet",25797,26000,06/2001,UT
"Red Fleet",25745,26000,06/2001,UT
"Red Fleet",25693,26000,06/2001,UT
"Red Fleet",25559,26000,06/2001,UT
"Red Fleet",25471,26000,06/2001,UT
"Red Fleet",25363,26000,06/2001,UT
"Red Fleet",25250,26000,06/2001,UT
"Red Fleet",25158,26000,06/2001,UT
"Red Fleet",25046,26000,06/2001,UT
"Red Fleet",24934,26000,06/2001,UT
"Red Fleet",24838,26000,06/2001,UT
"Red Fleet",24711,26000,06/2001,UT
"Red Fleet",24590,26000,07/2001,UT
"Red Fleet",24485,26000,07/2001,UT
"Red Fleet",24375,26000,07/2001,UT
"Red Fleet",24230,26000,07/2001,UT
"Red Fleet",24130,26000,07/2001,UT
"Red Fleet",23997,26000,07/2001,UT
"Red Fleet",23868,26000,07/2001,UT
"Red Fleet",23730,26000,07/2001,UT
"Red Fleet",23583,26000,07/2001,UT
"Red Fleet",23509,26000,07/2001,UT
"Red Fleet",23421,26000,07/2001,UT
"Red Fleet",23358,26000,07/2001,UT
"Red Fleet",23338,26000,07/2001,UT
"Red Fleet",23309,26000,07/2001,UT
"Red Fleet",23280,26000,07/2001,UT
"Red Fleet",23256,26000,07/2001,UT
"Red Fleet",23236,26000,07/2001,UT
"Red Fleet",23217,26000,07/2001,UT
"Red Fleet",23173,26000,07/2001,UT
"Red Fleet",23120,26000,07/2001,UT
"Red Fleet",23062,26000,07/2001,UT
"Red Fleet",23004,26000,07/2001,UT
"Red Fleet",22951,26000,07/2001,UT
"Red Fleet",22869,26000,07/2001,UT
"Red Fleet",22783,26000,07/2001,UT
"Red Fleet",22696,26000,07/2001,UT
"Red Fleet",22581,26000,07/2001,UT
"Red Fleet",22505,26000,07/2001,UT
"Red Fleet",22424,26000,07/2001,UT
"Red Fleet",22344,26000,07/2001,UT
"Red Fleet",22249,26000,07/2001,UT
"Red Fleet",22131,26000,08/2001,UT
"Red Fleet",22036,26000,08/2001,UT
"Red Fleet",21919,26000,08/2001,UT
"Red Fleet",21788,26000,08/2001,UT
"Red Fleet",21667,26000,08/2001,UT
"Red Fleet",21569,26000,08/2001,UT
"Red Fleet",21472,26000,08/2001,UT
"Red Fleet",21370,26000,08/2001,UT
"Red Fleet",21278,26000,08/2001,UT
"Red Fleet",21168,26000,08/2001,UT
"Red Fleet",21090,26000,08/2001,UT
"Red Fleet",21012,26000,08/2001,UT
"Red Fleet",20939,26000,08/2001,UT
"Red Fleet",20825,26000,08/2001,UT
"Red Fleet",20762,26000,08/2001,UT
"Red Fleet",20694,26000,08/2001,UT
"Red Fleet",20621,26000,08/2001,UT
"Red Fleet",20545,26000,08/2001,UT
"Red Fleet",20472,26000,08/2001,UT
"Red Fleet",20392,26000,08/2001,UT
"Red Fleet",20289,26000,08/2001,UT
"Red Fleet",20262,26000,08/2001,UT
"Red Fleet",20195,26000,08/2001,UT
"Red Fleet",20146,26000,08/2001,UT
"Red Fleet",20101,26000,08/2001,UT
"Red Fleet",20052,26000,08/2001,UT
"Red Fleet",19889,26000,08/2001,UT
"Red Fleet",19818,26000,08/2001,UT
"Red Fleet",19739,26000,08/2001,UT
"Red Fleet",19651,26000,08/2001,UT
"Red Fleet",19625,26000,08/2001,UT
"Red Fleet",19511,26000,09/2001,UT
